timestamp,currency,impact,event_name
2024-01-15 13:30:00,USD,high,Non-Farm Payrolls
2024-01-15 14:00:00,EUR,medium,ECB Press Conference
2024-01-17 09:00:00,GBP,high,UK CPI Data
2024-01-18 13:30:00,USD,high,FOMC Meeting Minutes
2024-01-22 08:30:00,EUR,high,ECB Interest Rate Decision
2024-01-23 13:30:00,USD,medium,GDP Advance Estimate
2024-01-25 14:00:00,USD,high,Core PCE Price Index
2024-01-29 09:00:00,GBP,high,Bank of England Rate Decision
2024-01-30 13:30:00,USD,medium,Employment Cost Index
2024-02-01 13:30:00,USD,high,Non-Farm Payrolls
2024-02-05 08:30:00,EUR,medium,Eurozone Retail Sales
2024-02-07 14:00:00,USD,high,FOMC Chair Testimony
2024-02-12 09:00:00,GBP,high,UK GDP Monthly
2024-02-13 13:30:00,USD,high,CPI Data
2024-02-14 08:30:00,EUR,high,ECB Meeting Minutes
2024-02-15 13:30:00,USD,medium,Retail Sales
2024-02-20 09:00:00,GBP,medium,UK Inflation Report
2024-02-21 14:00:00,USD,high,FOMC Meeting Minutes
2024-02-26 08:30:00,EUR,high,German IFO Business Climate
2024-02-27 13:30:00,USD,medium,Durable Goods Orders
2024-02-29 13:30:00,USD,high,Core PCE Price Index
